ondo,komando_no_nagasa,tsukawareta_kaisuu,gosa,yesNo
2.42,459,68,1.26,0
13.46,891,70,0.25,0
-6.94,207,55,3.2,0
-7.27,17,98,3.73,0
10.06,284,46,0.41,0
7.53,977,59,4.05,0
-11.58,90,66,3.97,0
15.43,105,36,4.99,0
14.83,88,3,4.42,0
-16.63,441,46,4.84,0
27.6,824,44,4.2,0
-4.04,726,76,0.11,0
36.37,66,93,1.51,0
24.64,648,25,0.79,0
-9.44,345,15,1.79,0
36.69,130,83,4.2,0
-19.03,769,88,2.03,0
1.97,637,52,3.79,0
11.7,471,24,4.83,0
15.47,20,7,4.27,0
33.64,548,29,1.09,0
-17.74,647,93,2.77,0
39.49,970,77,5.93,1
19.01,947,70,0.29,0
24.22,602,90,1.09,0
38.22,564,92,2.2,0
37.1,989,90,5.4,1
36.17,916,83,8.11,1
5.17,493,80,2.17,0
39.18,914,89,7.91,1
-17.11,578,62,1.69,0
-0.18,178,56,2.17,0
29.33,866,18,4.0,0
35.3,743,84,1.82,0
-11.72,734,38,2.7,0
6.88,572,72,0.07,0
10.5,996,53,1.33,0
-9.51,105,40,2.38,0
-17.12,177,95,4.12,0
11.39,375,15,1.74,0
10.46,307,64,2.72,0
-6.52,410,38,1.55,0
19.65,649,93,1.44,0
28.25,613,10,2.25,0
17.8,661,32,4.97,0
22.38,300,18,3.57,0
35.91,895,72,2.67,0
3.08,129,70,0.17,0
28.54,289,19,4.19,0
-14.09,826,20,4.7,0
5.09,488,83,2.51,0
36.08,932,93,8.23,1
11.36,544,4,1.89,0
39.68,929,91,8.15,1
-4.2,842,99,4.86,0
38.42,915,86,7.11,1
39.2,909,81,6.8,1
-5.71,851,45,0.97,0
2.66,221,28,2.09,0
18.62,702,69,3.13,0
0.02,166,4,1.09,0
37.73,563,77,3.54,0
39.58,930,98,6.62,1
-13.56,909,79,3.26,0
9.82,864,37,4.13,0
3.6,743,79,4.01,0
8.36,481,35,1.83,0
13.72,385,66,1.26,0
-13.61,157,22,3.72,0
-18.62,235,7,4.3,0
23.07,612,9,1.4,0
16.79,70,99,3.18,0
26.25,943,58,2.9,0
18.68,158,84,0.94,0
-18.48,331,29,3.08,0
25.92,193,47,1.22,0
20.06,691,77,0.81,0
-12.74,983,57,3.89,0
10.37,328,97,1.87,0
18.34,483,18,1.82,0
-3.15,911,96,0.2,0
2.59,425,31,2.86,0
34.46,240,37,4.55,0
-18.21,441,94,2.73,0
34.19,591,30,3.42,0
-8.18,131,9,3.77,0
-17.59,54,8,4.16,0
-3.24,489,79,0.42,0
-13.29,259,98,2.55,0
8.11,761,54,4.21,0
-1.13,402,86,2.34,0
-14.38,202,62,0.47,0
-15.13,191,33,0.0,0
8.82,784,90,2.29,0
23.77,680,70,4.16,0
33.82,484,18,2.98,0
11.67,306,83,4.63,0
-3.97,489,9,2.65,0
-11.16,522,17,1.06,0
-13.54,156,8,1.87,0
-0.48,655,18,3.91,0
-9.85,45,83,3.58,0
30.06,593,35,3.08,0
-15.79,879,28,3.77,0
-12.33,886,44,3.81,0
21.75,645,48,1.23,0
26.52,73,55,2.6,0
20.93,187,6,0.75,0
30.73,45,10,3.4,0
-8.22,277,59,0.42,0
27.66,895,25,1.3,0
9.38,768,30,2.09,0
-7.49,435,27,4.7,0
39.31,899,55,1.0,0
28.42,358,45,0.68,0
7.53,572,47,3.5,0
35.91,237,63,4.09,0
13.14,956,43,1.53,0
37.18,283,59,4.66,0
38.37,959,86,9.43,1
-11.57,896,61,0.2,0
6.4,95,63,3.73,0
20.06,298,23,2.18,0
36.78,987,77,8.68,1
-11.51,821,69,2.87,0
36.02,37,47,2.71,0
-4.06,24,74,2.6,0
36.98,594,7,1.89,0
-9.45,176,1,4.98,0
38.71,910,84,7.15,1
38.22,40,21,3.55,0
35.26,955,11,1.24,0
14.48,36,73,0.19,0
7.16,244,97,4.05,0
12.53,495,77,1.68,0
29.65,310,42,0.97,0
-18.24,937,66,3.0,0
33.63,719,55,0.69,0
-10.96,132,11,0.15,0
26.38,295,44,3.05,0
-6.58,280,47,1.86,0
24.3,963,36,0.14,0
-9.51,606,13,3.07,0
37.82,150,97,3.14,0
19.21,550,92,4.92,0
37.39,958,91,8.73,1
29.53,966,38,1.22,0
-12.64,928,66,2.84,0
-16.83,557,80,1.19,0
19.25,947,61,0.09,0
21.95,403,66,0.96,0
11.74,795,22,3.43,0
13.68,108,9,0.55,0
28.7,455,85,1.9,0
36.08,400,36,0.98,0
-9.84,462,1,4.13,0
-0.42,510,2,4.01,0
7.69,951,74,3.91,0
35.74,944,88,7.93,1
29.33,726,14,0.81,0
-11.39,425,99,4.93,0
-11.3,313,16,4.94,0
8.91,407,89,4.46,0
8.83,844,11,0.53,0
35.69,973,93,6.54,1
38.39,913,88,9.52,1
10.88,87,95,3.31,0
27.07,71,44,4.96,0
30.99,739,44,1.42,0
18.99,902,50,1.82,0
5.5,399,79,3.38,0
31.55,424,58,3.84,0
8.54,541,50,0.75,0
-16.7,608,82,2.84,0
15.33,501,79,3.2,0
39.15,956,99,7.6,1
18.47,79,39,2.08,0
14.88,271,94,4.86,0
33.87,719,76,1.6,0
36.41,681,89,4.89,0
25.79,576,52,2.58,0
-14.04,310,54,3.68,0
-1.97,776,50,4.92,0
13.35,695,39,4.44,0
39.83,829,96,2.09,0
38.64,911,97,6.35,1
1.01,686,100,0.44,0
26.19,701,3,3.15,0
-15.36,801,67,3.97,0
37.77,403,14,0.01,0
30.82,621,78,0.48,0
17.84,977,38,3.94,0
16.85,68,54,2.99,0
34.86,616,10,3.91,0
-0.35,728,66,1.17,0
14.41,831,29,3.55,0
9.93,217,97,2.47,0
22.52,458,85,2.1,0
5.37,510,12,4.97,0
9.43,456,3,1.47,0
23.4,403,42,0.8,0
5.84,704,78,2.94,0
9.29,493,100,0.44,0
35.27,204,71,4.62,0
32.69,93,58,0.12,0
16.62,479,81,3.11,0
32.08,158,6,0.47,0
-18.54,775,75,4.05,0
2.32,35,98,2.02,0
-9.13,292,62,1.31,0
39.17,981,26,3.01,0
21.51,744,0,4.81,0
4.73,448,10,4.31,0
39.67,967,94,7.45,1
18.1,487,32,3.73,0
-10.82,531,71,1.36,0
-16.81,334,80,0.98,0
37.01,916,89,9.37,1
6.66,545,46,2.18,0
19.46,318,81,1.51,0
-0.36,797,79,1.1,0
-3.77,839,91,1.66,0
-6.04,497,50,1.83,0
32.12,86,64,0.25,0
-3.99,79,49,0.1,0
29.21,514,23,4.6,0
28.61,934,33,3.18,0
18.9,106,61,2.05,0
38.63,892,100,3.8,0
6.0,464,95,3.01,0
37.13,604,47,1.68,0
-9.06,222,80,1.93,0
5.72,475,8,0.24,0
37.22,924,84,7.27,1
-7.68,768,11,4.79,0
35.8,952,97,7.35,1
10.29,964,59,4.01,0
37.42,130,88,0.9,0
-5.99,386,56,4.47,0
22.77,511,82,3.77,0
26.73,865,52,4.42,0
39.24,451,2,2.7,0
-13.53,684,23,4.4,0
-10.24,632,70,0.11,0
-9.73,318,43,0.07,0
4.38,281,73,4.21,0
38.35,944,90,5.26,1
3.49,195,37,3.7,0
38.85,975,86,7.33,1
37.8,950,87,9.87,1
-16.16,191,46,4.4,0
-16.85,523,88,0.38,0
-16.75,460,93,3.14,0
7.41,561,45,3.94,0
-17.42,852,20,2.3,0
18.43,622,72,3.46,0
2.29,42,29,4.14,0
15.56,565,41,0.84,0
-0.16,984,63,2.53,0
-8.24,839,3,0.34,0
-8.22,896,37,0.37,0
-2.0,344,82,1.91,0
8.24,858,10,4.44,0
-15.67,562,51,4.57,0
-15.46,417,41,0.55,0
33.39,582,54,0.92,0
4.82,477,15,1.29,0
38.42,183,3,2.39,0
35.28,406,52,4.51,0
22.53,519,3,0.37,0
21.33,891,36,1.39,0
34.76,964,41,0.25,0
-4.14,240,10,4.49,0
34.2,991,6,4.12,0
38.54,1000,84,5.7,1
39.96,840,16,1.11,0
4.06,392,68,3.54,0
-14.12,360,94,0.69,0
36.79,903,96,5.97,1
34.81,228,12,2.42,0
7.78,427,42,3.27,0
0.4,966,27,2.36,0
4.5,987,85,3.97,0
2.81,759,67,3.81,0
17.17,53,21,0.69,0
29.66,933,32,2.8,0
38.99,958,97,9.01,1
27.78,132,1,1.55,0
-12.78,587,84,4.54,0
-10.06,356,38,2.16,0
-13.82,574,84,4.38,0
-13.16,804,64,4.55,0
-11.38,320,50,2.7,0
35.72,917,75,9.85,1
6.16,289,55,2.11,0
29.56,906,66,3.24,0
29.61,399,16,2.4,0
-16.88,15,100,4.85,0
14.05,851,58,1.98,0
-13.25,74,38,1.72,0
34.66,486,38,2.77,0
31.39,165,79,4.45,0
33.01,303,26,4.37,0
16.33,509,8,3.52,0
39.46,977,93,5.07,1
38.17,779,86,1.89,0
-6.71,567,92,0.62,0
28.13,336,34,3.1,0
-6.01,128,20,3.24,0
37.31,900,87,5.69,1
6.39,751,16,0.15,0
-17.15,112,44,1.42,0
32.1,449,46,3.48,0
3.68,474,70,2.04,0
38.2,844,22,1.41,0
-2.22,550,94,1.67,0
-10.49,773,50,4.9,0
-0.22,419,16,1.46,0
20.69,118,7,1.69,0
-10.95,715,79,2.74,0
38.92,733,22,3.99,0
17.84,443,26,2.87,0
12.04,683,75,4.55,0
39.79,977,83,9.94,1
31.59,511,86,3.64,0
39.18,721,9,2.22,0
32.43,569,27,0.93,0
6.1,318,6,3.75,0
8.79,395,93,0.98,0
-12.26,387,57,0.77,0
-12.46,790,15,4.97,0
-4.56,273,85,0.2,0
35.81,507,62,0.73,0
39.33,652,67,4.53,0
21.78,296,81,1.77,0
-8.98,57,10,0.99,0
36.29,994,81,9.41,1
28.19,33,79,3.22,0
20.22,936,63,1.56,0
21.6,340,8,3.91,0
-9.07,690,31,2.75,0
9.48,665,39,0.41,0
31.06,317,35,2.58,0
-13.84,579,76,3.39,0
-14.72,658,12,3.49,0
25.23,628,44,0.56,0
38.44,937,86,9.98,1
2.82,416,15,2.12,0
31.72,728,94,0.05,0
36.71,916,91,5.8,1
-15.89,207,58,4.02,0
35.87,75,35,1.85,0
28.59,200,92,2.35,0
30.78,471,73,1.57,0
21.7,782,80,2.8,0
35.22,973,92,6.16,1
39.8,938,81,6.85,1
25.92,700,5,1.75,0
-4.46,180,67,3.62,0
30.23,979,5,1.19,0
2.5,531,34,0.07,0
-7.26,769,54,3.89,0
24.13,621,18,3.33,0
5.98,481,26,0.75,0
13.64,377,2,3.06,0
12.83,557,87,2.72,0
3.79,875,39,1.09,0
-15.81,417,15,3.93,0
-10.86,794,18,4.02,0
9.88,309,80,1.1,0
39.84,954,83,5.32,1
7.43,458,10,0.28,0
21.33,533,59,2.12,0
-1.24,855,74,2.49,0
-4.08,249,68,2.06,0
23.98,405,13,1.72,0
-5.05,104,53,4.46,0
39.21,975,93,5.81,1
19.07,407,89,1.92,0
8.12,384,25,1.06,0
35.34,911,58,2.05,0
39.57,927,37,2.59,0
-4.33,584,18,1.79,0
19.62,178,19,3.27,0
-2.45,228,23,2.52,0
35.87,823,5,3.98,0
-15.02,200,59,4.72,0
-3.09,285,53,1.8,0
18.53,905,88,3.6,0
32.26,628,18,1.83,0
15.69,153,91,3.23,0
-0.04,506,31,1.2,0
32.38,13,1,3.88,0
-13.96,680,73,0.26,0
10.78,130,15,0.92,0
-17.15,29,19,0.15,0
9.66,622,27,0.58,0
-10.12,139,51,1.8,0
27.26,83,95,2.51,0
-1.52,476,92,3.72,0
-13.1,86,56,4.61,0
1.34,591,30,0.16,0
26.7,873,17,2.36,0
-8.89,712,1,2.28,0
-12.43,62,21,2.18,0
26.0,988,7,4.84,0
28.37,930,78,1.54,0
-0.28,483,60,2.43,0
-5.3,527,69,4.21,0
39.13,926,80,5.76,1
33.54,824,0,2.05,0
11.93,10,3,4.56,0
21.42,840,20,4.2,0
20.62,670,24,2.87,0
-15.25,33,2,3.91,0
38.2,980,97,3.1,0
-11.27,748,71,0.78,0
22.78,491,3,1.95,0
1.74,42,77,0.58,0
25.72,276,31,4.19,0
28.96,888,21,2.44,0
35.45,944,83,9.6,1
19.67,280,99,3.34,0
30.41,165,23,3.23,0
-12.29,447,38,1.13,0
21.16,27,69,1.84,0
11.09,469,74,0.31,0
17.18,967,82,3.73,0
38.98,917,90,7.84,1
31.5,912,37,3.33,0
31.15,741,42,3.45,0
9.51,688,9,4.01,0
4.32,73,71,2.47,0
-18.18,899,59,2.7,0
12.28,64,4,2.65,0
25.17,695,68,0.44,0
29.84,695,44,1.32,0
-16.64,369,49,4.25,0
-3.75,959,90,4.07,0
5.76,199,60,3.53,0
-10.88,516,99,1.67,0
-19.64,57,4,3.49,0
-10.92,420,70,2.42,0
5.44,498,57,1.52,0
12.42,257,65,3.55,0
14.17,481,9,1.58,0
-13.56,284,88,3.13,0
5.21,632,5,1.78,0
3.05,555,44,3.41,0
38.51,998,97,9.8,1
10.23,779,9,2.75,0
37.3,499,5,2.57,0
-1.65,540,18,2.97,0
11.9,977,40,4.99,0
37.5,907,90,8.78,1
26.22,426,94,4.65,0
-11.62,506,64,1.31,0
35.75,908,100,5.06,1
35.56,917,93,8.97,1
9.73,373,30,3.09,0
-12.68,413,67,1.04,0
37.79,991,87,9.52,1
36.23,529,54,2.76,0
37.06,453,29,2.18,0
-5.29,760,87,3.52,0
16.94,600,38,2.22,0
13.16,719,64,0.66,0
38.44,915,84,9.85,1
13.7,941,87,3.22,0
6.93,227,94,0.86,0
16.12,379,99,2.07,0
13.49,118,18,2.21,0
24.55,558,13,1.14,0
36.79,939,100,9.62,1
7.97,861,75,4.87,0
37.88,528,49,4.24,0
4.95,799,6,2.48,0
1.14,182,30,1.3,0
9.83,168,14,2.24,0
26.6,372,44,2.25,0
35.45,971,92,5.93,1
0.85,239,12,4.02,0
12.27,378,24,4.4,0
28.62,419,72,3.1,0
6.17,391,94,4.83,0
-8.3,332,62,0.32,0
-14.64,762,16,1.8,0
14.33,325,0,4.6,0
37.77,963,91,5.59,1
-8.9,466,5,3.78,0
-16.24,18,90,1.26,0
6.04,575,44,0.48,0
-9.13,856,77,4.08,0
22.33,559,46,1.62,0
-12.94,142,9,4.51,0
38.2,995,77,6.99,1
-15.77,208,40,4.81,0
39.22,935,98,6.43,1
20.31,425,13,0.88,0
-12.16,116,93,1.17,0
-11.57,337,19,1.32,0
-12.43,396,32,0.44,0
-6.03,636,38,1.29,0
20.03,123,89,0.75,0
11.68,164,55,2.89,0
16.78,582,34,1.96,0
6.92,87,19,4.48,0
6.92,559,5,2.34,0
12.59,743,31,2.63,0
-0.31,174,47,4.35,0
-19.74,993,39,3.61,0
38.52,924,83,5.24,1
6.51,291,66,2.57,0
39.75,990,77,5.8,1
25.5,252,55,4.16,0
36.41,445,93,4.34,0
0.1,871,4,2.56,0
10.6,727,36,2.03,0
21.72,155,37,0.77,0
19.51,188,45,0.18,0
-11.55,787,97,0.72,0
3.25,446,68,0.89,0
29.72,329,10,2.36,0
27.8,166,34,3.91,0
36.73,927,83,9.43,1
23.88,538,6,2.14,0
14.33,854,93,0.84,0
32.91,361,13,2.91,0
18.78,712,39,3.75,0
6.96,838,17,3.09,0
26.6,962,100,3.24,0
21.97,410,17,4.72,0
19.15,122,100,1.73,0
38.63,997,74,0.88,0
-10.61,274,78,0.83,0
-3.37,194,11,0.42,0
6.84,905,69,0.47,0
37.26,23,20,0.77,0
12.33,352,94,4.77,0
25.1,712,36,2.48,0
5.57,96,6,0.8,0
39.17,994,78,6.36,1
37.02,960,82,8.8,1
39.68,322,99,4.29,0
36.15,953,91,5.53,1
23.36,174,5,1.89,0
-0.78,530,7,0.1,0
3.47,811,32,4.09,0
24.41,871,40,4.84,0
-18.04,975,37,1.15,0
-2.46,371,96,1.35,0
30.87,815,33,4.59,0
-16.71,386,53,4.63,0
6.29,150,74,1.71,0
-7.09,545,35,2.57,0
30.11,907,32,3.55,0
-5.48,311,78,4.83,0
11.53,132,16,3.41,0
35.85,922,78,5.77,1
-5.04,825,98,1.27,0
-8.38,74,38,3.97,0
3.38,226,67,2.48,0
13.47,30,29,2.45,0
-13.84,256,51,1.25,0
33.73,941,61,3.17,0
36.94,925,96,8.63,1
-8.39,260,46,2.78,0
28.92,956,10,0.48,0
31.8,663,49,2.49,0
-13.77,984,87,4.19,0
25.67,733,14,1.13,0
-13.22,678,26,0.11,0
-12.64,247,14,2.66,0
17.36,780,43,2.48,0
10.05,671,100,2.67,0
36.1,968,82,9.67,1
-10.11,307,38,2.42,0
-2.52,462,36,3.34,0
4.53,150,30,2.64,0
37.02,913,80,5.53,1
1.01,739,60,0.57,0
-5.44,976,24,2.4,0
9.64,188,69,1.15,0
11.14,890,60,3.02,0
10.25,633,56,2.4,0
-0.13,147,50,2.22,0
22.79,51,21,0.69,0
32.11,371,1,2.04,0
39.07,932,87,6.03,1
37.14,779,94,4.69,0
33.39,866,99,4.81,0
-3.72,337,75,2.92,0
39.68,878,8,4.94,0
9.28,826,20,4.92,0
8.98,606,100,3.23,0
-3.88,567,97,3.41,0
-10.59,808,8,2.8,0
9.53,540,77,3.41,0
-2.33,199,24,3.32,0
15.81,208,80,4.72,0
26.15,106,23,3.3,0
-7.16,674,46,4.29,0
-6.99,16,94,3.77,0
-13.22,186,30,0.61,0
-18.66,924,17,1.37,0
27.75,566,34,2.41,0
28.02,270,96,2.4,0
-16.04,602,51,2.11,0
16.85,611,94,0.53,0
35.53,907,76,6.22,1
10.56,380,20,3.0,0
-9.31,52,39,1.35,0
35.14,927,76,7.47,1
-8.63,200,92,4.43,0
26.91,489,46,1.88,0
-7.19,740,49,0.11,0
-16.78,404,97,4.56,0
10.25,858,21,0.73,0
31.56,876,54,1.65,0
24.22,924,18,1.1,0
29.8,35,32,4.3,0
22.52,796,47,2.71,0
-12.82,416,1,4.32,0
-17.91,466,47,4.12,0
37.21,999,100,7.93,1
34.48,899,84,4.37,0
-7.16,578,91,2.99,0
7.69,226,18,4.57,0
-0.54,217,44,0.1,0
-2.88,973,75,1.38,0
22.07,723,38,4.06,0
-6.18,236,40,2.72,0
6.66,25,97,3.67,0
0.28,274,81,0.15,0
16.99,816,39,4.44,0
31.0,970,32,2.99,0
35.84,937,75,7.0,1
37.97,952,81,5.74,1
38.7,938,78,8.34,1
29.52,34,37,4.31,0
-12.86,187,65,1.45,0
-4.17,519,0,0.46,0
1.56,481,51,2.05,0
19.34,986,9,1.25,0
16.61,702,16,2.61,0
37.87,942,91,6.28,1
37.31,637,81,2.96,0
39.4,948,94,7.32,1
-17.26,895,39,1.33,0
20.79,323,11,0.01,0
-10.63,277,12,4.97,0
5.32,495,97,1.78,0
-10.08,794,39,4.02,0
37.15,953,77,5.52,1
21.86,183,54,3.52,0
-2.13,705,50,2.91,0
37.76,940,93,8.37,1
39.96,907,90,6.94,1
37.91,225,27,1.52,0
25.21,202,98,1.67,0
21.86,596,15,4.59,0
0.35,55,86,0.81,0
36.97,219,95,4.22,0
38.31,838,27,0.33,0
-13.22,108,81,3.86,0
-9.57,695,34,0.94,0
19.93,84,75,0.2,0
9.46,992,81,1.6,0
0.39,127,79,1.59,0
18.63,899,34,4.06,0
35.54,915,98,8.37,1
10.85,415,88,0.02,0
37.88,995,81,5.51,1
29.45,877,52,1.2,0
37.53,917,88,7.27,1
17.99,951,31,2.57,0
-13.3,169,9,1.47,0
29.44,590,86,1.82,0
37.72,941,93,8.19,1
36.17,956,84,7.91,1
23.26,951,40,3.68,0
-9.79,200,38,0.17,0
-19.98,233,97,3.11,0
0.57,216,65,1.12,0
38.15,966,85,7.78,1
12.44,568,64,2.85,0
13.32,24,28,3.98,0
25.17,332,9,0.99,0
18.88,440,64,4.17,0
-0.29,347,16,1.28,0
28.57,556,17,2.74,0
32.22,473,54,3.03,0
-1.74,465,60,3.02,0
38.46,995,80,7.6,1
17.04,746,13,2.24,0
-6.9,367,54,1.78,0
-7.82,952,4,4.29,0
24.39,112,58,2.53,0
2.0,370,49,3.26,0
30.03,913,46,4.78,0
35.25,224,62,2.02,0
-8.86,434,95,1.74,0
12.47,702,47,1.95,0
37.96,704,97,4.82,0
6.59,872,19,0.86,0
36.25,966,89,5.98,1
35.86,580,1,3.07,0
20.93,241,31,3.07,0
16.38,68,74,0.85,0
37.25,90,6,1.16,0
39.06,935,97,8.9,1
-2.3,380,68,2.52,0
20.74,628,24,4.45,0
20.32,630,60,1.68,0
3.39,576,45,3.69,0
6.32,1000,90,4.62,0
6.43,575,55,3.67,0
6.65,959,84,1.12,0
-17.68,371,100,3.18,0
-17.41,508,6,0.69,0
35.31,938,90,9.6,1
-10.21,958,34,3.38,0
4.51,163,97,2.27,0
23.31,151,18,2.72,0
28.24,234,2,1.08,0
5.21,862,96,1.56,0
15.23,870,21,4.4,0
3.8,960,18,4.57,0
8.49,894,61,0.08,0
19.4,896,0,2.06,0
35.02,680,14,4.76,0
38.32,783,60,4.16,0
14.44,340,1,4.3,0
1.73,146,52,4.48,0
12.52,860,18,1.73,0
31.07,45,17,0.61,0
-9.28,965,37,0.45,0
14.55,855,9,1.9,0
37.84,965,87,7.37,1
4.92,643,19,3.56,0
-12.72,713,23,1.46,0
22.69,772,11,3.68,0
-13.86,980,46,1.33,0
5.93,435,24,2.48,0
36.31,904,77,9.27,1
37.51,976,94,5.61,1
27.79,865,82,2.57,0
2.86,186,32,1.05,0
-12.4,854,22,4.49,0
20.85,205,23,3.61,0
21.03,732,97,4.75,0
27.76,506,73,0.54,0
36.06,975,7,4.93,0
36.55,996,84,7.12,1
36.06,922,75,8.25,1
-6.41,155,36,4.32,0
-14.67,620,42,3.29,0
26.92,116,85,0.12,0
-14.99,543,37,3.29,0
24.88,637,20,3.3,0
-4.1,87,75,3.19,0
-8.5,391,82,2.46,0
5.64,893,49,0.1,0
19.04,359,34,2.77,0
8.54,509,77,1.56,0
36.59,989,92,8.36,1
38.83,929,87,7.49,1
25.0,291,43,3.7,0
14.66,87,14,3.67,0
11.08,332,51,1.08,0
29.51,170,52,4.6,0
35.78,973,80,9.59,1
-19.46,800,100,3.25,0
-16.67,867,48,4.47,0
20.71,28,34,0.68,0
31.97,98,32,3.7,0
4.68,690,8,3.23,0
39.1,976,100,6.15,1
24.86,953,47,2.03,0
-17.8,782,13,4.72,0
29.38,953,77,0.1,0
36.49,676,2,0.38,0
1.99,932,21,2.14,0
-4.78,429,47,3.96,0
27.45,828,47,3.75,0
33.05,597,95,4.85,0
34.11,652,23,1.76,0
-5.53,565,35,2.55,0
8.23,521,23,3.95,0
-14.64,674,21,0.8,0
8.05,124,74,0.66,0
37.96,981,98,6.24,1
18.16,989,66,4.36,0
35.19,978,91,9.72,1
35.48,588,68,0.84,0
1.13,609,99,4.28,0
19.91,779,92,4.76,0
37.89,946,96,8.22,1
-12.45,371,41,3.24,0
-3.17,325,19,0.79,0
39.69,958,85,7.18,1
22.27,736,70,0.64,0
37.81,995,25,1.23,0
36.6,235,94,1.5,0
32.46,296,38,0.26,0
-18.51,480,43,0.76,0
35.12,421,82,0.58,0
36.33,893,7,2.08,0
3.38,794,76,4.42,0
2.52,914,40,2.84,0
-10.71,961,73,1.17,0
-9.5,60,17,0.57,0
-11.41,735,76,1.84,0
-5.09,63,12,0.62,0
33.3,415,6,3.46,0
20.16,598,93,3.48,0
20.66,424,71,4.72,0
-5.35,12,27,4.2,0
-5.0,137,26,4.85,0
8.69,418,2,1.23,0
1.34,745,91,2.73,0
35.85,930,75,9.74,1
-1.15,788,87,3.28,0
16.49,107,79,4.43,0
14.94,429,44,4.49,0
5.69,754,16,2.42,0
-8.56,551,87,0.65,0
19.5,771,100,1.11,0
38.76,935,86,8.51,1
-2.29,91,38,4.92,0
-14.1,768,84,1.72,0
-1.73,539,10,0.64,0
36.15,449,63,1.07,0
5.85,239,46,3.39,0
